frequency,V_o,phase
100,0.9,75.57
200,1.64,60
300,2.28,48
400,2.68,39.87
500,3,30.69
750,3.4,15.67
850,3.48,10.393
1000,3.56,4.32
1250,3.56,-3.597
1500,3.56,-10.08
2000,3.4,-19.55
3000,3,-33.58
4000,2.64,-42.69
5000,2.32,-49.68
7500,1.76,-59.45
10000,1.4,-66.96
15000,0.96,-70.79
20000,0.74,-71.88
25000,0.592,-76.32
27500,0.544,-77.7
30000,0.504,-78.31
